iter	Logloss
0	0.5833705628
1	0.4975611323
2	0.4419873467
3	0.3961704666
4	0.3642234947
5	0.3414650516
6	0.3243234241
7	0.3117943431
8	0.3004103675
9	0.292082771
10	0.2855758367
11	0.2792130823
12	0.2746892922
13	0.2701080432
14	0.2667821472
15	0.2638823712
16	0.2609690882
17	0.2592654227
18	0.2575773816
19	0.2561263841
20	0.2545935324
21	0.2534203099
22	0.2522871415
23	0.2510669445
24	0.250042435
25	0.2492569437
26	0.248436222
27	0.2480163474
28	0.2474665205
29	0.2468974266
30	0.2464065012
31	0.2460074483
32	0.2455664585
33	0.2452151627
34	0.2449017335
35	0.2445463737
36	0.2441870569
37	0.2439286354
38	0.2436172174
39	0.2435128937
40	0.2433464786
41	0.2432098037
42	0.2430540326
43	0.2428711284
44	0.2427309946
45	0.2425832786
46	0.2424817512
47	0.2424214471
48	0.2423024604
49	0.2421783245
50	0.2420783139
51	0.2419393213
52	0.2418142707
53	0.2416755849
54	0.2415971444
55	0.2415126898
56	0.2414281887
57	0.2413710126
58	0.2413065789
59	0.2411913893
60	0.2411245622
61	0.2410512819
62	0.240966957
63	0.2408393316
64	0.2407451491
65	0.2406494439
66	0.2405641373
67	0.2405054426
68	0.240411189
69	0.2403636958
70	0.2402942434
71	0.2401980788
72	0.2401402865
73	0.2400842949
74	0.2400133196
75	0.2399532862
76	0.2398793929
77	0.2398212211
78	0.2397618077
79	0.2397020969
80	0.2395979843
81	0.2395291628
82	0.2394557181
83	0.2394143735
84	0.239369415
85	0.2393058625
86	0.2392680533
87	0.2392345167
88	0.239193812
89	0.2391429175
90	0.2390849026
91	0.2390191343
92	0.2389634944
93	0.2389124283
94	0.238852309
95	0.2387827921
96	0.2387169628
97	0.2386288573
98	0.2385620923
99	0.2385053905
100	0.2384112836
101	0.23836242
102	0.2383196931
103	0.2382634809
104	0.2382005905
105	0.2381530709
106	0.2381119033
107	0.2380579365
108	0.2380206493
109	0.2379878561
110	0.2379419395
111	0.2378745807
112	0.2378316448
113	0.2377806321
114	0.2377364604
115	0.2377000328
116	0.2376533932
117	0.2376016779
118	0.2375433229
119	0.2375032644
120	0.2374417671
121	0.2373804855
122	0.2373254686
123	0.2372537405
124	0.2372048013
125	0.2371294223
126	0.2371073524
127	0.2370457782
128	0.2369943452
129	0.2369414978
130	0.2368890357
131	0.2368379114
132	0.2367949527
133	0.2367575551
134	0.2367098704
135	0.2366649234
136	0.2366120437
137	0.2365592891
138	0.2364950294
139	0.2364289052
140	0.2363816705
141	0.2363362031
142	0.2362883839
143	0.2362407341
144	0.2361972736
145	0.2361565448
146	0.2361056637
147	0.2360446568
148	0.2359951855
149	0.2359465399
150	0.2359048976
151	0.2358479496
152	0.2357906025
153	0.2357258565
154	0.2356821002
155	0.2356382867
156	0.2356018013
157	0.2355558001
158	0.2354999988
159	0.2354540356
160	0.2354169429
161	0.2353708898
162	0.2353133167
163	0.2352633837
164	0.2352133776
165	0.2351686806
166	0.2351210968
167	0.2350704872
168	0.2350159982
169	0.2349824491
170	0.2349290693
171	0.2348871032
172	0.2348419924
173	0.2347963417
174	0.2347433681
175	0.2346876894
176	0.234610329
177	0.2345633947
178	0.2345117862
179	0.2344729485
180	0.2344331447
181	0.2343809328
182	0.2343297458
183	0.2342793403
184	0.2342355919
185	0.2341795264
186	0.234137732
187	0.2340906274
188	0.2340381791
189	0.2339777711
190	0.2339226629
191	0.2338662462
192	0.2338159208
193	0.2337625685
194	0.2337114421
195	0.2336578611
196	0.2335940502
197	0.2335577671
198	0.2335016832
199	0.2334583781
